ChartType,Value
StackedBarChart8,60.0
StackedBarChart8,20.0
StackedBarChart8,40.0
StackedBarChart8,50.0
StackedBarChart8,30.0
StackedBarChart8,20.0
StackedBarChart8,80.0
StackedBarChart8,33.0
StackedBarChart8,56.0
PieChart8,95.0
PieChart8,35.0
PieChart8,90.0
PieChart8,50.0
PieChart8,100.0
PieChart8,55.0
PieChart8,90.0
PieChart8,89.0
PieChart8,90.0
PieChart8,45.0
PieChart8,85.0
PieChart8,100.0
PieChart8,90.0
PieChart8,80.0
PieChart8,90.0
TreeMap8,70.0
TreeMap8,80.0
TreeMap8,50.0
TreeMap8,80.0
TreeMap8,50.0
TreeMap8,50.0
TreeMap8,70.0
TreeMap8,80.0
TreeMap8,45.0
TreeMap8,90.0
TreeMap8,80.0
StackedBarChart12,80.0
StackedBarChart12,75.0
StackedBarChart12,90.0
StackedBarChart12,90.0
StackedBarChart12,75.0
StackedBarChart12,90.0
StackedBarChart12,12.0
StackedBarChart12,90.0
StackedBarChart12,80.0
StackedBarChart12,40.0
StackedBarChart12,90.0
StackedBarChart12,90.0
StackedBarChart12,74.0
StackedBarChart12,80.0
DonutChart1,55.0
DonutChart1,70.0
DonutChart1,60.0
DonutChart1,80.0
DonutChart1,37.0
DonutChart1,60.0
DonutChart1,20.0
DonutChart1,21.0
DonutChart1,70.0
StackedBarChart6,70.0
StackedBarChart6,60.0
StackedBarChart6,50.0
StackedBarChart6,60.0
StackedBarChart6,60.0
StackedBarChart6,50.0
StackedBarChart6,40.0
StackedBarChart6,70.0
StackedBarChart6,75.0
StackedBarChart6,2.0
StackedBarChart10,60.0
StackedBarChart10,20.0
StackedBarChart10,30.0
StackedBarChart10,80.0
StackedBarChart10,70.0
StackedBarChart10,80.0
StackedBarChart10,67.0
StackedBarChart10,89.0
StackedBarChart10,65.0
StackedBarChart10,70.0
StackedBarChart10,60.0
StackedBarChart10,90.0
StackedBarChart10,20.0
StackedBarChart10,26.0
StackedBarChart10,87.0
StackedBarChart10,80.0
StackedBarChart10,69.0
TreeMap10,50.0
TreeMap10,50.0
TreeMap10,25.0
TreeMap10,20.0
TreeMap10,40.0
TreeMap10,66.0
TreeMap10,14.0
TreeMap10,90.0
