Index,Vis,ReportedPercent,TruePercent,Error
170,StackedBarChart9,30.0,67,5.21
171,StackedBarChart9,12.0,67,5.78
172,StackedBarChart9,3.0,67,6.0
173,StackedBarChart9,60.0,67,2.83
174,DonutChart9,60.0,70,3.34
175,DonutChart9,40.0,70,4.91
176,DonutChart9,75.0,70,2.36
177,DonutChart9,20.0,70,5.65
178,DonutChart9,80.0,70,3.34
179,DonutChart9,40.0,70,4.91
180,DonutChart9,80.0,70,3.34
181,DonutChart9,60.0,70,3.34
182,DonutChart9,80.0,70,3.34
183,DonutChart9,46.0,70,4.59
184,DonutChart9,6.0,70,6.0
185,TreeMap9,55.0,67,3.6
186,TreeMap9,60.0,67,2.83
187,TreeMap9,100.0,67,5.05
188,TreeMap9,70.0,67,1.64
189,TreeMap9,40.0,67,4.76
190,TreeMap9,70.0,67,1.64
191,TreeMap9,41.0,67,4.71
192,TreeMap9,65.0,67,1.09
193,TreeMap9,2.0,67,6.03
194,TreeMap9,65.0,67,1.09
195,TreeMap9,35.0,67,5.01
196,StackedBarChart2,65.0,67,1.09
197,StackedBarChart2,20.0,67,5.56
198,StackedBarChart2,20.0,67,5.56
199,StackedBarChart2,50.0,67,4.1
200,StackedBarChart2,30.0,67,5.21
201,StackedBarChart2,70.0,67,1.64
202,StackedBarChart2,20.0,67,5.56
203,StackedBarChart2,45.0,67,4.47
204,StackedBarChart2,25.0,67,5.4
205,StackedBarChart2,60.0,67,2.83
206,StackedBarChart2,50.0,67,4.1
207,StackedBarChart2,80.0,67,3.71
208,StackedBarChart2,70.0,67,1.64
209,StackedBarChart2,20.0,67,5.56
210,StackedBarChart2,60.0,67,2.83
211,StackedBarChart2,56.0,67,3.48
212,StackedBarChart2,40.0,67,4.76
213,StackedBarChart2,50.0,67,4.1
214,TreeMap11,20.0,40,4.33
215,TreeMap11,20.0,40,4.33
216,TreeMap11,40.0,40,0.0
217,TreeMap11,35.0,40,2.36
218,TreeMap11,20.0,40,4.33
219,TreeMap11,33.0,40,2.83
220,TreeMap11,40.0,40,0.0
221,TreeMap11,50.0,40,3.34
222,TreeMap11,30.0,40,3.34
223,StackedBarChart4,30.0,75,5.5
224,StackedBarChart4,75.0,75,0.0
225,StackedBarChart4,30.0,75,5.5
226,StackedBarChart4,80.0,75,2.36
227,StackedBarChart4,70.0,75,2.36
228,StackedBarChart4,35.0,75,5.33
229,StackedBarChart4,8.0,75,6.07
230,StackedBarChart4,80.0,75,2.36
231,StackedBarChart4,42.0,75,5.05
232,StackedBarChart4,50.0,75,4.65
233,StackedBarChart4,80.0,75,2.36
234,StackedBarChart4,80.0,75,2.36
235,StackedBarChart4,40.0,75,5.13
236,StackedBarChart4,40.0,75,5.13
237,StackedBarChart4,80.0,75,2.36
238,TreeMap5,20.0,28,3.02
239,TreeMap5,20.0,28,3.02
240,TreeMap5,40.0,28,3.6
241,TreeMap5,30.0,28,1.09
242,TreeMap5,25.0,28,1.64
243,TreeMap5,30.0,28,1.09
244,TreeMap5,25.0,28,1.64
245,TreeMap5,20.0,28,3.02
246,TreeMap5,12.0,28,4.01
247,TreeMap5,20.0,28,3.02
248,TreeMap5,30.0,28,1.09
249,TreeMap5,15.0,28,3.71
250,TreeMap5,30.0,28,1.09
251,TreeMap5,10.0,28,4.18
252,TreeMap5,30.0,28,1.09
253,TreeMap5,56.0,28,4.81
254,TreeMap5,7.0,28,4.4
255,TreeMap5,20.0,28,3.02
256,PieChart9,60.0,70,3.34
257,PieChart9,40.0,70,4.91
258,PieChart9,26.0,70,5.46
259,PieChart9,90.0,70,4.33
260,PieChart9,70.0,70,0.0
261,PieChart9,30.0,70,5.33
262,PieChart9,50.0,70,4.33
263,PieChart9,75.0,70,2.36
264,PieChart9,70.0,70,0.0
265,PieChart9,60.0,70,3.34
266,PieChart9,6.0,70,6.0
267,PieChart9,70.0,70,0.0
268,DonutChart3,60.0,75,3.92
269,DonutChart3,55.0,75,4.33
270,DonutChart3,60.0,75,3.92
271,DonutChart3,80.0,75,2.36
272,DonutChart3,75.0,75,0.0
273,DonutChart3,89.0,75,3.82
274,DonutChart3,68.0,75,2.83
275,DonutChart3,33.0,75,5.4
276,DonutChart6,60.0,100,5.33
277,DonutChart6,15.0,100,6.41
278,DonutChart6,100.0,100,0.0
279,DonutChart6,95.0,100,2.36
280,DonutChart6,100.0,100,0.0
281,DonutChart6,20.0,100,6.32
282,DonutChart6,95.0,100,2.36
283,DonutChart6,40.0,100,5.91
284,StackedBarChart8,50.0,33,4.1
285,StackedBarChart8,20.0,33,3.71
286,StackedBarChart8,20.0,33,3.71
287,StackedBarChart8,25.0,33,3.02
288,StackedBarChart8,60.0,33,4.76
289,StackedBarChart8,20.0,33,3.71
290,StackedBarChart8,40.0,33,2.83
291,StackedBarChart8,50.0,33,4.1
292,StackedBarChart8,30.0,33,1.64
